Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.38,-0.52,-0.23,-0.3,-0.04,-0.18,-0.21,-.25,-.24,-.29,-.43,-.41,-.29,,,-0.19,-.21,-.32
1881,-0.3,-0.24,-0.05,-0.02,0.05,-0.33,0.1,-.05,-.27,-.44,-.36,-.23,-.18,-.19,-.32,-0.01,-.09,-.36
1882,0.26,0.22,0.03,-0.29,-0.22,-0.28,-0.28,-.14,-.24,-.51,-.33,-.67,-.20,-.17,.08,-0.16,-.23,-.36
1883,-0.57,-0.65,-0.14,-0.29,-0.25,-0.11,-0.05,-.22,-.33,-.15,-.43,-.14,-.28,-.32,-.63,-0.23,-.12,-.31
1884,-0.15,-0.1,-0.63,-0.58,-0.35,-0.4,-0.4,-.50,-.44,-.43,-.57,-.46,-.42,-.39,-.13,-0.52,-.44,-.48
1885,-1.0,-0.45,-0.23,-0.48,-0.57,-0.44,-0.33,-.40,-.38,-.36,-.37,-.10,-.43,-.46,-.64,-0.42,-.39,-.37
1886,-0.73,-0.83,-0.7,-0.36,-0.33,-0.37,-0.14,-.42,-.32,-.31,-.40,-.21,-.43,-.42,-.55,-0.46,-.31,-.34
1887,-1.08,-0.7,-0.44,-0.38,-0.25,-0.2,-0.24,-.55,-.20,-.49,-.27,-.42,-.43,-.42,-.66,-0.35,-.33,-.32
1888,-0.48,-0.61,-0.63,-0.21,-0.14,-0.02,0.0,-.21,-.19,-.03,.00,-.23,-.23,-.25,-.50,-0.33,-.07,-.07
1889,-0.27,0.3,-0.01,0.17,-0.03,-0.06,-0.08,-.20,-.29,-.41,-.61,-.54,-.17,-.14,-.07,0.04,-.11,-.44
1890,-0.63,-0.57,-0.46,-0.24,-0.35,-0.15,-0.23,-.38,-.34,-.09,-.62,-.46,-.38,-.38,-.58,-0.35,-.25,-.35
1891,-0.46,-0.66,-0.15,-0.35,-0.15,-0.12,-0.12,-.12,-.07,-.28,-.52,-.01,-.25,-.29,-.53,-0.22,-.12,-.29
1892,-0.49,-0.18,-0.66,-0.44,-0.22,-0.05,-0.37,-.32,-.20,-.27,-.82,-.67,-.39,-.34,-.23,-0.44,-.25,-.43
1893,-1.51,-0.96,-0.32,-0.3,-0.43,-0.18,-0.14,-.34,-.29,-.28,-.34,-.60,-.47,-.48,-1.04,-0.35,-.22,-.30
1894,-0.91,-0.42,-0.21,-0.53,-0.26,-0.41,-0.2,-.27,-.32,-.27,-.48,-.35,-.39,-.41,-.65,-0.33,-.29,-.36
1895,-0.7,-0.81,-0.5,-0.18,-0.3,-0.21,-0.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.62,-0.33,-.22,-.09
1896,-0.36,-0.18,-0.49,-0.6,-0.16,0.07,0.0,-.11,-.13,.04,-.21,-.21,-.20,-.20,-.26,-0.42,-.01,-.10
1897,-0.4,-0.41,-0.39,-0.05,0.13,-0.06,0.05,-.06,-.06,-.15,-.25,-.29,-.16,-.16,-.34,-0.1,-.02,-.15
1898,0.05,-0.45,-0.79,-0.28,-0.28,-0.09,-0.12,-.18,-.18,-.37,-.51,-.26,-.29,-.29,-.23,-0.45,-.13,-.35
1899,-0.13,-0.64,-0.59,-0.22,-0.24,-0.35,-0.16,-.07,-.04,.05,.36,-.46,-.21,-.19,-.35,-0.35,-.19,.12
1900,-0.62,-0.14,0.06,-0.1,-0.04,-0.1,-0.11,-.08,-.02,.23,-.12,-.02,-.09,-.13,-.41,-0.03,-.10,.03
1901,-0.33,-0.1,0.27,0.11,-0.11,0.02,0.02,-.16,-.27,-.32,-.19,-.39,-.12,-.09,-.15,0.09,-.04,-.26
1902,-0.13,-0.03,-0.37,-0.37,-0.4,-0.39,-0.32,-.29,-.33,-.32,-.47,-.60,-.34,-.32,-.19,-0.38,-.34,-.37
1903,-0.23,0.11,-0.16,-0.46,-0.43,-0.46,-0.43,-.55,-.48,-.46,-.40,-.56,-.38,-.38,-.24,-0.35,-.48,-.45
1904,-0.75,-0.61,-0.45,-0.5,-0.44,-0.48,-0.59,-.54,-.63,-.39,-.08,-.34,-.48,-.50,-.64,-0.46,-.54,-.37
